,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
117,Robin Lopez,CHI,81,28.0,4.7,9.6,0.493,0.0,0.0,0.0,0.9,1.3,0.721,1.1,1.9,3.0,3.4,6.4,1.0,0.2,1.4,10.4,76
118,Cody Zeller,CHA,62,27.8,4.1,7.1,0.5710000000000001,0.0,0.0,0.0,2.1,3.2,0.679,1.0,3.0,2.2,4.4,6.5,1.6,1.0,0.9,10.3,77
119,Malcolm Brogdon,MIL,75,26.4,3.9,8.5,0.457,1.0,2.6,0.40399999999999997,1.5,1.7,0.865,1.5,1.9,0.6,2.2,2.8,4.2,1.1,0.2,10.2,78
120,Jon Leuer,DET,75,25.9,4.1,8.6,0.48,0.7,2.2,0.293,1.3,1.5,0.867,0.9,1.9,1.4,4.0,5.4,1.5,0.4,0.3,10.2,75
121,Draymond Green,GSW,76,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.0,2.8,0.7090000000000001,2.4,2.9,1.3,6.6,7.9,7.0,2.0,1.4,10.2,88
122,Jusuf Nurkic,POR,65,21.4,4.2,8.2,0.507,0.0,0.0,0.0,1.8,3.2,0.5710000000000001,2.2,2.5,2.4,4.8,7.2,1.9,0.8,1.1,10.2,79
123,Tony Parker,SAS,63,25.2,4.2,9.0,0.466,0.4,1.1,0.33299999999999996,1.3,1.9,0.726,1.4,1.5,0.1,1.7,1.8,4.5,0.5,0.0,10.1,77
124,Kyle Korver,CLE,67,26.2,3.6,7.7,0.46399999999999997,2.4,5.4,0.451,0.6,0.6,0.905,1.0,1.6,0.1,2.7,2.8,1.6,0.5,0.3,10.1,74
126,Trevor Booker,BRK,71,24.7,4.3,8.3,0.516,0.4,1.1,0.321,1.0,1.5,0.6729999999999999,1.8,2.1,2.0,6.0,8.0,1.9,1.1,0.4,10.0,76
127,Gorgui Dieng,MIN,82,32.4,4.0,8.1,0.502,0.2,0.5,0.37200000000000005,1.7,2.0,0.8140000000000001,1.3,3.1,2.3,5.6,7.9,1.9,1.1,1.2,10.0,76
128,Shabazz Muhammad,MIN,78,19.4,3.7,7.7,0.48200000000000004,0.6,1.9,0.33799999999999997,1.9,2.4,0.774,0.7,1.1,1.1,1.7,2.8,0.4,0.3,0.1,9.9,75
129,Jamal Murray,DEN,82,21.5,3.6,8.9,0.40399999999999997,1.4,4.2,0.33399999999999996,1.3,1.5,0.883,1.4,1.5,0.5,2.1,2.6,2.1,0.6,0.3,9.9,77
130,Ty Lawson,SAC,69,25.1,3.4,7.6,0.45399999999999996,0.5,1.7,0.28800000000000003,2.5,3.1,0.797,1.9,1.7,0.6,2.0,2.6,4.8,1.1,0.1,9.9,75
131,Jeremy Lamb,CHA,62,18.4,3.6,7.9,0.46,0.7,2.4,0.281,1.8,2.1,0.853,0.6,1.6,0.5,3.8,4.3,1.2,0.4,0.4,9.7,75
132,Kenneth Faried,DEN,61,21.2,3.7,6.8,0.5479999999999999,0.0,0.1,0.0,2.1,3.1,0.693,1.0,2.0,3.0,4.6,7.6,0.9,0.7,0.7,9.6,78
133,E'Twaun Moore,NOP,73,24.9,3.9,8.5,0.457,1.1,2.8,0.37,0.8,1.0,0.77,0.8,1.8,0.5,1.6,2.1,2.2,0.7,0.4,9.6,74
134,Patrick Beverley,HOU,67,30.7,3.4,8.1,0.42,1.6,4.3,0.382,1.1,1.4,0.768,1.5,3.3,1.4,4.4,5.9,4.2,1.5,0.4,9.5,79
135,Derrick Favors,UTA,50,23.7,4.1,8.3,0.48700000000000004,0.1,0.2,0.3,1.3,2.2,0.615,1.2,2.1,1.8,4.3,6.1,1.1,0.9,0.8,9.5,78
137,Nik Stauskas,PHI,80,27.3,3.1,7.9,0.396,1.6,4.5,0.368,1.5,1.9,0.813,1.6,1.8,0.3,2.6,2.8,2.4,0.6,0.4,9.4,73
138,Michael Beasley,MIL,56,16.7,3.9,7.2,0.532,0.3,0.8,0.419,1.4,1.9,0.743,1.2,1.6,0.7,2.7,3.4,0.9,0.5,0.5,9.4,75
139,Brandon Ingram,LAL,79,28.9,3.5,8.7,0.402,0.7,2.4,0.294,1.7,2.7,0.621,1.5,2.0,0.8,3.2,4.0,2.1,0.6,0.5,9.4,76
141,Cory Joseph,TOR,80,25.0,3.7,8.3,0.452,0.6,1.7,0.35600000000000004,1.2,1.5,0.77,1.4,1.8,0.6,2.3,2.9,3.3,0.8,0.2,9.2,75
142,Jeff Green,ORL,69,22.2,3.2,8.1,0.39399999999999996,0.8,2.8,0.275,2.1,2.4,0.863,1.1,1.5,0.6,2.5,3.1,1.2,0.5,0.2,9.2,73
144,Marquese Chriss,PHX,82,21.3,3.5,7.7,0.449,0.9,2.7,0.321,1.4,2.2,0.624,1.3,3.2,1.2,3.1,4.2,0.7,0.8,0.9,9.2,76
145,Michael Kidd-Gilchrist,CHA,81,29.0,3.6,7.6,0.47700000000000004,0.0,0.1,0.111,1.9,2.4,0.784,0.7,2.3,1.9,5.0,7.0,1.4,1.0,1.0,9.2,77
146,Joe Johnson,UTA,78,23.6,3.5,8.0,0.436,1.4,3.3,0.41100000000000003,0.8,1.0,0.818,0.9,1.2,0.4,2.7,3.1,1.8,0.5,0.2,9.2,76
147,Jameer Nelson,DEN,75,27.3,3.6,8.1,0.444,1.4,3.6,0.38799999999999996,0.6,0.8,0.7140000000000001,1.7,2.6,0.4,2.2,2.6,5.1,0.7,0.1,9.2,74
148,Channing Frye,CLE,74,18.9,3.2,7.0,0.45799999999999996,1.9,4.5,0.409,0.9,1.0,0.851,0.7,1.9,0.5,3.4,3.9,0.6,0.4,0.5,9.1,73
150,Montrezl Harrell,HOU,58,18.3,3.9,5.9,0.652,0.0,0.1,0.14300000000000002,1.3,2.1,0.628,0.8,2.2,1.4,2.4,3.8,1.1,0.3,0.7,9.1,74
151,Tony Allen,MEM,71,27.0,3.9,8.4,0.461,0.2,0.8,0.278,1.1,1.8,0.615,1.4,2.5,2.3,3.2,5.5,1.4,1.6,0.4,9.1,78
152,Kelly Olynyk,BOS,75,20.5,3.5,6.8,0.512,0.9,2.6,0.354,1.2,1.6,0.732,1.3,2.8,1.0,3.8,4.8,2.0,0.6,0.4,9.0,75
153,Evan Turner,POR,65,25.5,3.6,8.5,0.426,0.5,1.8,0.263,1.3,1.6,0.825,1.5,1.9,0.6,3.2,3.8,3.2,0.8,0.4,9.0,74
154,Doug McDermott,OKC,66,22.8,3.4,7.5,0.447,1.2,3.2,0.37,1.1,1.3,0.845,0.6,1.2,0.3,2.4,2.7,0.9,0.2,0.1,9.0,73
155,JaMychal Green,MEM,77,27.3,3.2,6.5,0.5,0.7,1.9,0.379,1.7,2.2,0.802,1.2,3.2,2.2,4.9,7.1,1.1,0.6,0.4,8.9,75
156,DeMarre Carroll,TOR,72,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.2,1.6,0.7609999999999999,0.8,2.0,0.9,2.9,3.8,1.0,1.1,0.4,8.9,75
157,Al-Farouq Aminu,POR,61,29.1,3.0,7.6,0.39299999999999996,1.1,3.5,0.33,1.6,2.2,0.706,1.5,1.7,1.3,6.1,7.4,1.6,1.0,0.7,8.7,73
158,Marreese Speights,LAC,82,15.7,3.0,6.7,0.445,1.3,3.4,0.37200000000000005,1.5,1.7,0.8759999999999999,0.8,2.8,1.1,3.5,4.5,0.8,0.3,0.5,8.7,74
159,Rondae Hollis-Jefferson,BRK,78,22.6,3.0,6.9,0.434,0.2,0.9,0.22399999999999998,2.4,3.2,0.7509999999999999,1.5,2.3,1.2,4.6,5.8,2.0,1.1,0.6,8.7,75
161,Tony Snell,MIL,80,29.2,3.1,6.8,0.455,1.8,4.4,0.406,0.6,0.7,0.81,0.7,1.6,0.3,2.8,3.1,1.2,0.7,0.2,8.5,75
163,Arron Afflalo,SAC,61,25.9,3.0,6.9,0.44,1.0,2.5,0.41100000000000003,1.4,1.5,0.892,0.7,1.7,0.1,1.9,2.0,1.3,0.3,0.1,8.4,73
164,Norman Powell,TOR,76,18.0,3.0,6.7,0.449,0.7,2.3,0.324,1.7,2.1,0.792,0.9,1.7,0.3,1.9,2.2,1.1,0.7,0.2,8.4,75
165,Troy Daniels,MEM,67,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.6,0.8,0.7959999999999999,0.7,1.3,0.3,1.2,1.5,0.7,0.3,0.1,8.2,72
166,Willy Hernangomez,NYK,72,18.4,3.4,6.5,0.529,0.1,0.2,0.267,1.3,1.7,0.728,1.4,2.1,2.4,4.6,7.0,1.3,0.6,0.5,8.2,77
167,Willie Cauley-Stein,SAC,75,18.9,3.4,6.4,0.53,0.0,0.0,0.0,1.3,2.0,0.669,0.9,2.0,1.1,3.4,4.5,1.1,0.7,0.6,8.1,76
168,Ben McLemore,SAC,61,19.3,3.0,6.9,0.43,1.1,2.8,0.382,1.1,1.5,0.753,1.0,1.8,0.3,1.8,2.1,0.8,0.5,0.1,8.1,73
169,Al Jefferson,IND,66,14.1,3.6,7.1,0.499,0.0,0.0,0.0,1.0,1.3,0.765,0.5,1.9,1.1,3.1,4.2,0.9,0.3,0.2,8.1,75
170,Tristan Thompson,CLE,78,30.0,3.4,5.6,0.6,0.0,0.0,0.0,1.4,2.7,0.498,0.8,2.3,3.7,5.5,9.2,1.0,0.5,1.1,8.1,78
171,Vince Carter,MEM,73,24.7,2.6,6.7,0.39399999999999996,1.5,4.1,0.37799999999999995,1.2,1.6,0.765,0.7,2.2,0.5,2.6,3.1,1.8,0.8,0.5,8.0,74
172,Alex Len,PHX,77,20.3,3.0,6.0,0.49700000000000005,0.0,0.2,0.25,1.9,2.7,0.721,1.3,3.1,2.0,4.6,6.6,0.6,0.5,1.3,8.0,73
173,Langston Galloway,SAC,74,20.2,2.8,7.4,0.38,1.6,4.2,0.39,0.7,0.9,0.797,0.6,1.3,0.4,1.7,2.1,1.3,0.6,0.1,7.9,73
175,Shelvin Mack,UTA,55,21.9,3.1,6.9,0.446,0.7,2.2,0.308,1.0,1.4,0.688,1.6,1.8,0.4,1.9,2.3,2.8,0.8,0.1,7.8,73
176,Rajon Rondo,CHI,69,26.7,3.3,8.1,0.408,0.7,1.9,0.376,0.4,0.7,0.6,2.4,2.1,1.1,4.1,5.1,6.7,1.4,0.2,7.8,76
178,Garrett Temple,SAC,65,26.6,2.8,6.6,0.424,1.3,3.4,0.373,0.9,1.1,0.784,1.2,2.2,0.5,2.3,2.8,2.6,1.3,0.4,7.8,74
179,Justin Holiday,NYK,82,20.0,2.8,6.6,0.433,1.2,3.3,0.355,0.8,1.0,0.825,0.8,1.3,0.3,2.4,2.7,1.2,0.8,0.4,7.7,74
181,Andre Iguodala,GSW,76,26.3,2.9,5.5,0.528,0.8,2.3,0.36200000000000004,0.9,1.3,0.706,0.8,1.3,0.7,3.3,4.0,3.4,1.0,0.5,7.6,79
182,Manu Ginobili,SAS,69,18.7,2.5,6.4,0.39,1.3,3.3,0.392,1.2,1.6,0.804,1.4,1.7,0.4,1.9,2.3,2.7,1.2,0.2,7.5,76
183,Iman Shumpert,CLE,76,25.5,2.6,6.4,0.41100000000000003,1.2,3.4,0.36,0.9,1.2,0.789,1.0,2.0,0.5,2.4,2.9,1.4,0.8,0.4,7.5,73
184,Isaiah Whitehead,BRK,73,22.5,2.8,7.0,0.402,0.6,2.0,0.295,1.2,1.5,0.805,1.9,2.4,0.4,2.1,2.5,2.6,0.6,0.5,7.4,73
185,Spencer Dinwiddie,BRK,59,22.6,2.3,5.1,0.444,0.6,1.7,0.376,2.1,2.7,0.792,1.1,2.0,0.5,2.3,2.8,3.1,0.7,0.4,7.3,73
186,Danny Green,SAS,68,26.6,2.6,6.6,0.392,1.7,4.6,0.379,0.4,0.5,0.8440000000000001,1.1,1.8,0.5,2.8,3.3,1.8,1.0,0.8,7.3,76
188,Tyler Ulis,PHX,61,18.4,3.0,7.2,0.42100000000000004,0.3,1.3,0.266,0.9,1.2,0.775,1.3,1.2,0.3,1.2,1.6,3.7,0.8,0.1,7.3,75
189,Thabo Sefolosha,ATL,62,25.7,2.8,6.4,0.441,0.7,1.9,0.342,0.9,1.2,0.733,0.9,1.6,0.9,3.5,4.4,1.7,1.5,0.5,7.2,75
190,Tim Frazier,NOP,65,23.5,2.5,6.2,0.40299999999999997,0.6,2.0,0.312,1.5,2.0,0.76,1.6,2.0,0.5,2.1,2.7,5.2,0.9,0.1,7.1,73
192,Brandon Jennings,WAS,81,22.2,2.4,6.6,0.359,1.0,3.1,0.313,1.4,1.9,0.75,1.6,1.4,0.4,2.1,2.4,4.9,0.9,0.0,7.1,72
194,Justin Anderson,PHI,75,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.4,1.7,0.7909999999999999,0.9,1.5,0.9,2.3,3.3,0.9,0.5,0.3,7.1,73
195,Anthony Tolliver,SAC,65,22.7,2.4,5.4,0.442,1.4,3.5,0.391,0.9,1.3,0.7440000000000001,0.9,1.7,0.8,2.9,3.6,1.2,0.5,0.3,7.1,72
196,Joe Ingles,UTA,82,24.1,2.5,5.5,0.452,1.5,3.4,0.441,0.6,0.8,0.735,1.3,2.0,0.3,2.9,3.2,2.7,1.2,0.1,7.1,78
197,Solomon Hill,NOP,80,29.7,2.3,6.0,0.38299999999999995,1.2,3.4,0.348,1.3,1.6,0.805,1.0,2.3,0.6,3.2,3.8,1.8,0.9,0.4,7.0,72
198,Justin Hamilton,BRK,64,18.4,2.7,5.9,0.45899999999999996,0.9,2.8,0.306,0.6,0.8,0.75,0.7,1.4,1.1,3.0,4.1,0.9,0.5,0.7,6.9,72
200,Kyle O'Quinn,NYK,79,15.6,2.7,5.2,0.521,0.0,0.2,0.11800000000000001,0.8,1.1,0.7709999999999999,1.0,2.2,2.0,3.6,5.6,1.5,0.5,1.3,6.3,68
201,Jusuf Nurkic,POR,65,21.4,4.2,8.2,0.507,0.0,0.0,0.0,1.8,3.2,0.5710000000000001,2.2,2.5,2.4,4.8,7.2,1.9,0.8,1.1,10.2,79
202,Dirk Nowitzki,DAL,54,26.4,5.5,12.6,0.43700000000000006,1.5,3.9,0.37799999999999995,1.8,2.1,0.875,0.9,2.1,0.4,6.1,6.5,1.5,0.6,0.7,14.2,80
203,Lucas Nogueira,TOR,57,19.1,1.8,2.7,0.66,0.1,0.2,0.25,0.8,1.2,0.657,0.8,2.4,1.4,2.8,4.3,0.7,0.9,1.6,4.4,73
204,Nerlens Noel,DAL,51,20.5,3.6,6.1,0.595,0.0,0.0,0.0,1.5,2.2,0.6940000000000001,1.0,2.5,1.8,3.9,5.8,1.0,1.3,1.0,8.7,78
205,Joakim Noah,NYK,46,22.1,2.2,4.4,0.49,0.0,0.0,0.0,0.7,1.7,0.436,1.3,2.8,3.5,5.2,8.8,2.2,0.7,0.8,5.0,74
207,Jameer Nelson,DEN,75,27.3,3.6,8.1,0.444,1.4,3.6,0.38799999999999996,0.6,0.8,0.7140000000000001,1.7,2.6,0.4,2.2,2.6,5.1,0.7,0.1,9.2,74
208,Shabazz Napier,POR,53,9.7,1.4,3.5,0.39899999999999997,0.6,1.7,0.37,0.7,0.9,0.7759999999999999,0.8,0.7,0.2,1.0,1.2,1.3,0.6,0.0,4.1,71
210,Mike Muscala,ATL,70,17.7,2.4,4.8,0.504,0.7,1.6,0.418,0.7,0.9,0.7659999999999999,0.8,1.4,1.1,2.3,3.4,1.4,0.4,0.6,6.2,74
211,Jamal Murray,DEN,82,21.5,3.6,8.9,0.40399999999999997,1.4,4.2,0.33399999999999996,1.3,1.5,0.883,1.4,1.5,0.5,2.1,2.6,2.1,0.6,0.3,9.9,77
212,Shabazz Muhammad,MIN,78,19.4,3.7,7.7,0.48200000000000004,0.6,1.9,0.33799999999999997,1.9,2.4,0.774,0.7,1.1,1.1,1.7,2.8,0.4,0.3,0.1,9.9,75
213,Emmanuel Mudiay,DEN,55,25.6,3.8,10.0,0.377,1.0,3.2,0.315,2.4,3.0,0.784,2.2,1.7,0.5,2.7,3.2,3.9,0.7,0.2,11.0,73
214,Timofey Mozgov,LAL,54,20.4,3.1,6.1,0.515,0.0,0.0,0.0,1.2,1.4,0.8079999999999999,1.3,2.5,1.9,3.0,4.9,0.8,0.3,0.6,7.4,74
216,Markieff Morris,WAS,76,31.2,5.3,11.7,0.457,0.9,2.6,0.36200000000000004,2.4,2.8,0.8370000000000001,1.7,3.3,1.4,5.1,6.5,1.7,1.1,0.6,14.0,78
217,Marcus Morris,DET,79,32.5,5.3,12.7,0.418,1.5,4.5,0.331,1.8,2.3,0.784,1.1,2.1,1.0,3.7,4.6,2.0,0.7,0.3,14.0,77
218,E'Twaun Moore,NOP,73,24.9,3.9,8.5,0.457,1.1,2.8,0.37,0.8,1.0,0.77,0.8,1.8,0.5,1.6,2.1,2.2,0.7,0.4,9.6,74
219,Greg Monroe,MIL,81,22.5,4.8,9.0,0.5329999999999999,0.0,0.0,0.0,2.2,3.0,0.741,1.7,2.1,2.1,4.5,6.6,2.3,1.1,0.5,11.7,80
220,Nikola Mirotic,CHI,70,24.0,3.7,8.9,0.413,1.8,5.4,0.342,1.4,1.8,0.773,1.1,1.8,0.9,4.6,5.5,1.1,0.8,0.8,10.6,76
221,Paul Millsap,ATL,69,34.0,6.2,14.1,0.442,1.1,3.5,0.311,4.5,5.9,0.768,2.3,2.7,1.6,6.1,7.7,3.7,1.3,0.9,18.1,87
224,Khris Middleton,MIL,29,30.7,5.2,11.5,0.45,1.6,3.6,0.433,2.8,3.2,0.88,2.2,2.7,0.4,3.9,4.2,3.4,1.4,0.2,14.7,81
225,Salah Mejri,DAL,73,12.4,1.2,1.9,0.642,0.0,0.0,0.33299999999999996,0.5,0.8,0.59,0.5,2.1,1.3,2.9,4.2,0.2,0.4,0.8,2.9,74
226,Jodie Meeks,ORL,36,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.8,2.1,0.878,1.0,1.1,0.1,2.0,2.1,1.2,0.9,0.1,9.1,72
227,Ben McLemore,SAC,61,19.3,3.0,6.9,0.43,1.1,2.8,0.382,1.1,1.5,0.753,1.0,1.8,0.3,1.8,2.1,0.8,0.5,0.1,8.1,73
228,Rodney McGruder,MIA,78,25.2,2.4,5.9,0.413,0.9,2.8,0.332,0.6,0.9,0.62,0.7,1.8,1.2,2.1,3.3,1.6,0.6,0.2,6.4,74
229,JaVale McGee,GSW,77,9.6,2.7,4.1,0.652,0.0,0.0,0.0,0.7,1.4,0.505,0.5,1.4,1.3,1.9,3.2,0.2,0.2,0.9,6.1,76
230,Doug McDermott,OKC,66,22.8,3.4,7.5,0.447,1.2,3.2,0.37,1.1,1.3,0.845,0.6,1.2,0.3,2.4,2.7,0.9,0.2,0.1,9.0,73
234,Patrick McCaw,GSW,71,15.1,1.5,3.5,0.433,0.6,1.7,0.33299999999999996,0.4,0.5,0.784,0.5,0.9,0.3,1.1,1.4,1.1,0.5,0.2,4.0,73
236,Luc Mbah a Moute,LAC,80,22.3,2.4,4.7,0.505,0.5,1.4,0.391,0.7,1.1,0.6779999999999999,0.6,1.5,0.6,1.6,2.1,0.5,1.0,0.4,6.0,76
237,Wesley Matthews,DAL,73,34.2,4.6,11.6,0.39299999999999996,2.4,6.6,0.363,2.0,2.5,0.816,1.4,2.2,0.2,3.3,3.5,2.9,1.1,0.2,13.5,77
238,Jarell Martin,MEM,42,13.3,1.4,3.6,0.384,0.2,0.6,0.36,1.0,1.2,0.8,0.7,2.2,1.0,2.9,3.9,0.2,0.4,0.2,3.9,72
239,Thon Maker,MIL,57,9.9,1.5,3.2,0.45899999999999996,0.5,1.3,0.37799999999999995,0.6,0.9,0.653,0.3,1.5,0.7,1.3,2.0,0.4,0.2,0.5,4.0,75
240,Ian Mahinmi,WAS,31,17.9,2.1,3.6,0.586,0.0,0.0,0.0,1.4,2.4,0.573,1.1,2.9,1.5,3.3,4.8,0.6,1.1,0.8,5.6,74
241,Shelvin Mack,UTA,55,21.9,3.1,6.9,0.446,0.7,2.2,0.308,1.0,1.4,0.688,1.6,1.8,0.4,1.9,2.3,2.8,0.8,0.1,7.8,73
242,Trey Lyles,UTA,71,16.3,2.2,6.2,0.36200000000000004,0.9,2.9,0.319,0.8,1.1,0.722,0.9,1.4,0.7,2.6,3.3,1.0,0.4,0.3,6.2,74
244,Kyle Lowry,TOR,60,37.4,7.1,15.3,0.46399999999999997,3.2,7.8,0.41200000000000003,5.0,6.1,0.8190000000000001,2.9,2.8,0.8,4.0,4.8,7.0,1.5,0.3,22.4,87
245,Kevin Love,CLE,60,31.4,6.2,14.4,0.42700000000000005,2.4,6.5,0.373,4.3,4.9,0.871,2.0,2.1,2.5,8.6,11.1,1.9,0.9,0.3,19.0,87
246,Robin Lopez,CHI,81,28.0,4.7,9.6,0.493,0.0,0.0,0.0,0.9,1.3,0.721,1.1,1.9,3.0,3.4,6.4,1.0,0.2,1.4,10.4,76
247,Brook Lopez,BRK,75,29.6,7.4,15.6,0.474,1.8,5.2,0.34600000000000003,3.9,4.9,0.81,2.5,2.6,1.6,3.8,5.4,2.3,0.5,1.7,20.5,84
248,Shaun Livingston,GSW,76,17.7,2.3,4.2,0.547,0.0,0.0,0.33299999999999996,0.6,0.8,0.7,0.8,1.6,0.4,1.6,2.0,1.8,0.5,0.3,5.1,75
249,Jeremy Lin,BRK,36,24.5,4.9,11.1,0.43799999999999994,1.6,4.3,0.37200000000000005,3.2,3.9,0.816,2.4,2.2,0.3,3.4,3.8,5.1,1.2,0.4,14.5,78
250,Damian Lillard,POR,75,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6.5,7.3,0.895,2.6,2.0,0.6,4.3,4.9,5.9,0.9,0.3,27.0,89
252,Caris LeVert,BRK,57,21.7,3.0,6.7,0.45,1.0,3.2,0.321,1.2,1.6,0.72,1.0,1.6,0.4,2.9,3.3,1.9,0.9,0.1,8.2,75
253,Jon Leuer,DET,75,25.9,4.1,8.6,0.48,0.7,2.2,0.293,1.3,1.5,0.867,0.9,1.9,1.4,4.0,5.4,1.5,0.4,0.3,10.2,75
254,Meyers Leonard,POR,74,16.5,2.0,5.1,0.386,1.0,2.9,0.34700000000000003,0.5,0.5,0.875,0.5,2.3,0.4,2.8,3.2,1.0,0.2,0.4,5.4,70
255,Kawhi Leonard,SAS,74,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.3,7.2,0.88,2.1,1.6,1.1,4.7,5.8,3.5,1.8,0.7,25.5,95
256,Alex Len,PHX,77,20.3,3.0,6.0,0.49700000000000005,0.0,0.2,0.25,1.9,2.7,0.721,1.3,3.1,2.0,4.6,6.6,0.6,0.5,1.3,8.0,73
